src_oui,src_mac,src2dst_transmission_rate_ms,src2dst_transmission_rate_bytes_ms,src2dst_total_packets,src2dst_total_duration_ms,src2dst_total_bytes,src2dst_stdev_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_max_ps,src2dst_last_seen_time_ms,src2dst_first_seen_time_ms,protocol,dst_oui,dst_mac,dst2src_transmission_rate_ms,dst2src_transmission_rate_bytes_ms,dst2src_total_packets,dst2src_total_duration_ms,dst2src_total_bytes,dst2src_stdev_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_max_ps,dst2src_last_seen_time_ms,dst2src_first_seen_time_ms,bidirectional_transmission_rate_ms,bidirectional_transmission_rate_byte_ms,bidirectional_total_packets,bidirectional_total_duration_ms,bidirectional_total_bytes,bidirectional_stdev_ps,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_max_ps,label
0x02b0,0x02b0,0.0004248400105644,0.054359290875562,21,49430.37255859375,2687.0,4.874385826769217,121.0,127.95238095238096,133.0,1643660428056.9463,1643660378626.5735,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.001894299498532,0.2363927915876484,24,12669.591064453123,2995.0,0.8154327412825387,124.0,124.79166666666669,126.0,1652455910641.5652,1652455897971.974,z,0x02b0,0x02b0,0.0010260723306612,0.1322054733736561,13,12669.672119140623,1675.0,2.769230769230769,127.0,128.84615384615384,133.0,1652455910642.1943,1652455897972.5222,0.0029202333797365,0.368580807658645,37,12670.22021484375,4670.0,2.955538377452019,124.0,126.73076923076924,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455907523.22,1652455907523.22,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0020520853862986,0.2561949678432886,26,12670.0380859375,3246.0,0.6617173282340483,124.0,124.84615384615384,126.0,1652455944160.0854,1652455931490.0474,z,0x02b0,0x02b0,0.0010260243064942,0.1321992856444501,13,12670.26513671875,1675.0,2.769230769230769,127.0,128.84615384615384,133.0,1652455944160.9504,1652455931490.6853,0.0030779179483537,0.3883701083038139,39,12670.903076171877,4921.0,2.955538377452019,124.0,126.73076923076924,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455937796.6672,1652455937796.6672,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0018865253396197,0.2355012465625328,24,12721.801025390623,2996.0,0.7993052538854533,124.0,124.83333333333331,126.0,1652456009001.7256,1652455996279.9246,z,0x02b0,0x02b0,0.0011004518695946,0.1418010837677726,14,12722.046630859377,1804.0,2.6687916703242003,127.0,128.85714285714286,133.0,1652456009002.352,1652455996280.3054,0.0029868513716559,0.3772864890512788,38,12722.427490234377,4800.0,2.9259570211805777,124.0,126.71428571428572,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455998007.4546,1652455998007.4546,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0019044488361869,0.2378974004536859,24,12602.0712890625,2998.0,0.7021791477646966,124.0,124.91666666666669,126.0,1652456034089.947,1652456021487.8755,z,0x02b0,0x02b0,0.0009521896273864,0.1233085567465459,12,12602.53173828125,1554.0,2.958039891549808,127.0,129.5,133.0,1652456034090.7031,1652456021488.1714,0.0028565018688743,0.3611887918643318,36,12602.827392578123,4552.0,3.210226714043037,124.0,127.16666666666669,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652456028286.1782,1652456028286.1782,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0028336346529904,0.3537320591816404,24,8469.6875,2996.0,0.6236095644623235,124.0,124.83333333333331,126.0,1652456080079.637,1652456071609.9497,z,0x02b0,0x02b0,0.0014139376766235,0.1823979602844375,12,8486.93701171875,1548.0,2.8284271247461903,127.0,129.0,133.0,1652456080097.562,1652456071610.625,0.0042414754199601,0.5353684530083062,36,8487.612548828125,4544.0,3.023059524536176,124.0,126.83333333333331,133.0,smart_bridge
